Not Reported	ALOCUS	N	Null or Missing
0	ALOCUS	N	0
1	ALOCUS	N	1
2	ALOCUS	N	2
3	ALOCUS	N	3
9	ALOCUS	N	9
10	ALOCUS	N	10
11	ALOCUS	N	11
19	ALOCUS	N	19
23	ALOCUS	N	23
24	ALOCUS	N	24
25	ALOCUS	N	25
26	ALOCUS	N	26
28	ALOCUS	N	28
29	ALOCUS	N	29
30	ALOCUS	N	30
31	ALOCUS	N	31
32	ALOCUS	N	32
33	ALOCUS	N	33
34	ALOCUS	N	34
36	ALOCUS	N	36
43	ALOCUS	N	43
66	ALOCUS	N	66
68	ALOCUS	N	68
69	ALOCUS	N	69
74	ALOCUS	N	74
80	ALOCUS	N	80
Unknown	ALOCUS	N	97
No second antigen detected	ALOCUS	N	98
Not Tested	ALOCUS	N	99
01:01	ALOCUS	N	101
01:02	ALOCUS	N	102
02:01	ALOCUS	N	201
02:02	ALOCUS	N	202
02:03	ALOCUS	N	203
02:05	ALOCUS	N	205
02:06	ALOCUS	N	206
02:07	ALOCUS	N	207
210	ALOCUS	N	210
02:10	ALOCUS	N	211
02:18	ALOCUS	N	218
03:01	ALOCUS	N	301
03:02	ALOCUS	N	302
11:01	ALOCUS	N	1101
11:02	ALOCUS	N	1102
24:02	ALOCUS	N	2402
24:03	ALOCUS	N	2403
26:01	ALOCUS	N	2601
26:02	ALOCUS	N	2602
26:03	ALOCUS	N	2603
29:01	ALOCUS	N	2901
29:02	ALOCUS	N	2902
30:01	ALOCUS	N	3001
30:02	ALOCUS	N	3002
32:04	ALOCUS	N	3204
33:01	ALOCUS	N	3301
33:03	ALOCUS	N	3303
34:01	ALOCUS	N	3401
34:02	ALOCUS	N	3402
66:01	ALOCUS	N	6601
66:02	ALOCUS	N	6602
68:01	ALOCUS	N	6801
68:02	ALOCUS	N	6802
Unknown	ALOCUS	N	**OTHER**
Not Reported	ANGIO	N	Null or Missing
No	ANGIO	N	1
Yes, normal	ANGIO	N	2
Yes, not normal	ANGIO	N	3
Unknown	ANGIO	N	**OTHER**
